TargetID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
ERCC-00059	96,70023	0,9207792	95,13559	0,9350649	109,0544	0,7402598	103,4559	0,7038961	105,4316	0,8584415	109,7389	0,7025974	100,4843	0,9480519	108,6724	0,7467533	105,7139	0,8727273	99,07952	0,8714285	114,6629	0,4402598	105,7531	0,5428572	101,5501	0,7701299	109,5048	0,5753247	97,60216	0,9649351	111,1307	0,7545455	94,05779	0,9948052	112,8703	0,812987	111,1557	0,6909091	93,02309	0,9571428	110,9472	0,9	99,25565	0,8831169	106,9171	0,5519481	107,3764	0,6701299
ERCC-00060	99,94593	0,8389611	94,73003	0,9467533	112,4189	0,5961039	99,28162	0,8506494	128,4352	0,1194805	112,0109	0,6077922	109,162	0,7181818	116,4176	0,4766234	111,6014	0,6376624	115,4926	0,1922078	108,7365	0,7090909	107,1046	0,4766234	104,4927	0,6454545	107,1053	0,7038961	109,4864	0,5597402	123,5836	0,2649351	118,3367	0,2467532	119,1516	0,5571429	115,5302	0,5103896	101,5915	0,7506493	124,231	0,3662338	114,8662	0,2337662	101,1779	0,8142857	101,7031	0,8714285
ERCC-00061	97,81598	0,8896104	92,7729	0,9779221	98,07351	0,9779221	114,6487	0,2168831	103,1471	0,9038961	110,9706	0,6532468	95,21593	0,9883117	102,7676	0,9155844	100,1767	0,9818182	100,5436	0,825974	104,9352	0,848052	104,4997	0,6207792	97,12595	0,9168831	110,0183	0,5545455	97,09129	0,9701298	114,4618	0,6207792	117,2204	0,2792208	123,9983	0,3662338	106,7888	0,848052	94,28924	0,9480519	107,2539	0,9610389	96,31708	0,9558442	90,75465	0,9961039	101,1405	0,8883117
ERCC-00062	99,71173	0,8506494	99,07127	0,8324676	102,3289	0,9220779	101,7389	0,7714286	112,1805	0,6493506	105,508	0,8363636	101,7788	0,9220779	102,6847	0,9168831	103,4775	0,9285714	98,4504	0,887013	104,9331	0,848052	98,7042	0,8753247	102,6169	0,7337663	103,028	0,8311688	107,9641	0,6363636	96,89468	0,9961039	111,9626	0,5298702	105,4202	0,9688312	110,689	0,7077922	96,25211	0,9246753	108,4925	0,9493507	105,7447	0,6532468	103,2259	0,7207792	106,1157	0,7194805
ERCC-00067	98,93416	0,8662338	101,6404	0,7454545	95,64361	0,9922078	100,7636	0,8051948	115,6652	0,5038961	104,4302	0,8636364	113,6599	0,5311688	114,1304	0,5701299	114,7962	0,512987	112,3374	0,3	104,8327	0,8506494	101,2037	0,7818182	98,43324	0,8779221	105,1063	0,7649351	96,95342	0,9714286	104,0052	0,951948	101,4108	0,9246753	113,9123	0,7818182	114,1687	0,5636364	93,12062	0,9571428	114,7907	0,7727273	109,5944	0,4506494	99,08706	0,8818182	94,86266	0,9896104
ERCC-00069	98,1741	0,8857143	93,88255	0,9623377	103,5365	0,8974026	90,31847	0,9974026	103,951	0,8896104	103,4367	0,8818182	101,9054	0,9194805	110,4345	0,6948052	111,8292	0,6311688	99,20616	0,8688312	98,62984	0,9818182	99,99503	0,8285714	99,31746	0,8467532	107,7537	0,6688312	96,74872	0,9727273	109,0632	0,8220779	110,3157	0,6194805	116,2173	0,6922078	101,0007	0,9662338	97,71154	0,8935065	106,2575	0,9636363	94,60201	0,9727273	94,90044	0,9701298	98,16924	0,9454545
ERCC-00071	103,5704	0,7064935	95,72937	0,9233766	107,1082	0,8025974	103,952	0,687013	109,3657	0,7480519	102,3922	0,9077922	109,038	0,7220779	101,6788	0,9350649	112,9701	0,5896104	102,8548	0,7428572	109,2836	0,6922078	102,7576	0,7051948	104,1531	0,6597403	103,6917	0,8142857	102,6449	0,8467532	114,8686	0,6077922	101,7228	0,9233766	124,7364	0,3350649	112,073	0,6545454	99,10621	0,8558441	111,6544	0,8818182	106,1501	0,6233766	102,3901	0,7558442	100,1028	0,9142857
ERCC-00073	96,97108	0,9077922	104,8476	0,6285715	101,2634	0,938961	91,30331	0,9909091	110,0117	0,7350649	107,8172	0,7662337	112,0585	0,6	104,4737	0,8779221	104,4709	0,9012987	107,2359	0,5376623	106,9484	0,7909091	107,4113	0,4584416	101,3644	0,7727273	104,0106	0,8038961	124,2093	0,09220779	117,8903	0,4714286	107,8479	0,7285714	114,0887	0,7779221	118,0498	0,3987013	100,4361	0,8116883	106,2454	0,9636363	101,9343	0,8051948	102,1113	0,7688312	110,1343	0,548052
ERCC-00074	96,30952	0,9311689	97,22426	0,8883117	106,4624	0,8246753	93,62885	0,9779221	111,7621	0,6662338	106,2274	0,8155844	101,0392	0,9402598	110,7026	0,6844156	111,872	0,6272727	98,29218	0,8896104	108,4828	0,7220779	106,2727	0,5207792	92,05254	0,9883117	106,156	0,7311688	107,4294	0,6584415	110,9429	0,7571428	111,3832	0,5649351	104,3071	0,9805195	104,3704	0,9142857	105,5015	0,5571429	110,8691	0,9051948	96,72133	0,9454545	110,1589	0,4090909	104,3452	0,7844156
ERCC-00075	88,13865	0,9961039	87,71987	0,9987013	90,04823	0,9987013	97,17464	0,9103896	102,7348	0,9168831	97,87981	0,9753247	105,2274	0,8441558	95,76834	0,9961039	102,8741	0,9428571	102,7715	0,7454545	103,6856	0,8909091	93,49819	0,9727273	100,2232	0,8142857	110,6338	0,525974	103,8009	0,8077922	109,4206	0,8103896	103,1785	0,8727273	112,0184	0,8376623	105,786	0,8805195	102,4184	0,7038961	104,2482	0,9831169	99,52111	0,874026	99,21384	0,8792208	104,6527	0,7727273
