TargetID	ProbeID	200729890044_A.AVG_Signal	200729890044_A.Detection Pval	200729890044_B.AVG_Signal	200729890044_B.Detection Pval	200729890044_C.AVG_Signal	200729890044_C.Detection Pval	200729890044_D.AVG_Signal	200729890044_D.Detection Pval	200729890044_E.AVG_Signal	200729890044_E.Detection Pval	200729890044_F.AVG_Signal	200729890044_F.Detection Pval	200729890044_G.AVG_Signal	200729890044_G.Detection Pval	200729890044_H.AVG_Signal	200729890044_H.Detection Pval	200729890044_I.AVG_Signal	200729890044_I.Detection Pval	200729890044_J.AVG_Signal	200729890044_J.Detection Pval	200729890044_K.AVG_Signal	200729890044_K.Detection Pval	200729890044_L.AVG_Signal	200729890044_L.Detection Pval	200796240064_A.AVG_Signal	200796240064_A.Detection Pval	200796240064_B.AVG_Signal	200796240064_B.Detection Pval	200796240064_C.AVG_Signal	200796240064_C.Detection Pval	200796240064_D.AVG_Signal	200796240064_D.Detection Pval	200796240064_E.AVG_Signal	200796240064_E.Detection Pval	200796240064_F.AVG_Signal	200796240064_F.Detection Pval	200796240064_G.AVG_Signal	200796240064_G.Detection Pval	200796240064_H.AVG_Signal	200796240064_H.Detection Pval	200796240064_I.AVG_Signal	200796240064_I.Detection Pval	200796240064_J.AVG_Signal	200796240064_J.Detection Pval	200796240064_K.AVG_Signal	200796240064_K.Detection Pval	200796240064_L.AVG_Signal	200796240064_L.Detection Pval
NEGATIVE	730243	104,924	0,6636364	99,49493	0,8168831	113,8343	0,548052	108,864	0,4324675	104,4423	0,8818182	110,7667	0,6597403	105,8212	0,8272727	109,1508	0,7324675	109,6507	0,7285714	95,67278	0,9558442	109,5203	0,6766234	101,7987	0,7597402	106,4912	0,5363637	105,7065	0,7480519	106,5926	0,7012987	116,8919	0,5103896	112,7661	0,4844156	117,3569	0,6311688	120,5262	0,3116883	95,77213	0,9363636	117,8532	0,6506494	108,8993	0,4987013	96,18638	0,9506493	100,4987	0,9051948
NEGATIVE	770059	113,1451	0,3025974	107,6545	0,5	123,4035	0,1961039	115,6871	0,1844156	116,3628	0,4727273	120,4359	0,2818182	121,1961	0,2467532	122,0281	0,2571429	122,4514	0,2142857	115,5043	0,1922078	112,5948	0,5454546	98,42487	0,8883117	108,7969	0,4194805	108,9084	0,5961039	116,0319	0,2714286	114,2901	0,625974	112,4913	0,5	126,2665	0,2792208	119,8076	0,3350649	118,5019	0,09090909	122,2161	0,4597403	108,194	0,5272727	106,6932	0,5558441	120,2233	0,1636364
NEGATIVE	770092	92,43719	0,9792208	106,3222	0,5519481	95,08733	0,9935065	98,17299	0,8779221	99,11584	0,9636363	102,7885	0,9	106,4169	0,8064935	103,3776	0,9051948	99,87555	0,9831169	101,1236	0,8090909	105,6532	0,8285714	92,41841	0,9805195	88,16576	0,9987013	107,8402	0,6649351	103,0927	0,8298701	106,9593	0,8961039	94,67183	0,9935065	109,1803	0,9142857	101,4462	0,9571428	103,8613	0,635065	111,232	0,8883117	101,42	0,8194805	105,584	0,6155844	101,2923	0,8844156
NEGATIVE	770274	107,992	0,5324675	110,7041	0,3818182	105,0529	0,874026	106,9586	0,5337662	109,238	0,7558442	114,1907	0,5155844	108,321	0,7506493	116,8089	0,4610389	108,2486	0,774026	97,24934	0,9233766	100,1556	0,9701298	100,9567	0,7883117	102,7399	0,7272727	109,0039	0,5909091	119,394	0,1714286	114,0751	0,638961	107,9827	0,7207792	115,3542	0,7311688	105,6162	0,8844156	97,32168	0,9025974	119,5278	0,5649351	108,1822	0,5298702	103,5992	0,7064935	110,4789	0,5376623
NEGATIVE	780161	104,8457	0,6649351	119,8627	0,1038961	128,4337	0,1012987	111,6881	0,3220779	115,9782	0,4909091	120,8303	0,2675325	135,1674	0,04935065	130,9477	0,07792208	132,4278	0,05064935	123,0883	0,05064935	113,2146	0,5168831	117,1299	0,1285714	110,8345	0,3142857	108,4202	0,6285715	112,8896	0,4012987	122,9483	0,287013	120,5479	0,1883117	122,3381	0,4428571	119,1711	0,3519481	123,537	0,03636364	142,6996	0,02597403	113,7123	0,2857143	114,5775	0,2467532	124,1395	0,07272727
NEGATIVE	780653	104,6606	0,6766234	106,5241	0,5441558	111,6752	0,6285715	109,5547	0,4116883	128,5328	0,1181818	106,8351	0,7948052	108,8917	0,7298701	113,755	0,587013	120,8195	0,2688312	104,1195	0,6727273	99,29046	0,9779221	109,5437	0,3545454	105,4556	0,6038961	120,5307	0,1714286	124,2162	0,09090909	119,65	0,4012987	105,7491	0,7961039	121,7175	0,4636364	124,8545	0,1857143	111,5394	0,2883117	129,5807	0,2038961	109,9753	0,4337662	108,7655	0,4805195	112,5348	0,4298701
NEGATIVE	780709	102,5754	0,7454545	106,6668	0,5363637	112,9169	0,5818182	105,3728	0,6220779	113,1211	0,6181818	115,1097	0,4844156	104,4996	0,8714285	116,2066	0,4844156	113,341	0,5688311	114,8486	0,2233766	114,9546	0,4324675	106,8364	0,4896104	107,8395	0,4831169	108,0571	0,6558442	105,3085	0,7571428	118,9998	0,4402598	107,9557	0,7233766	121,7355	0,4623377	119,8017	0,3363636	108,6503	0,4181818	114,5047	0,7792208	118,7071	0,1350649	118,7384	0,1220779	113,6882	0,3753247
NEGATIVE	830243	111,7342	0,3675325	118,364	0,1337662	109,6158	0,7220779	107,6268	0,4974026	124,1796	0,212987	115,4783	0,4714286	118,7118	0,3324675	132,9884	0,05844156	123,8438	0,1805195	107,6264	0,5181818	122,089	0,1766234	114,5152	0,187013	107,9527	0,474026	115,8104	0,3168831	111,5194	0,4714286	119,6803	0,4	115,4654	0,3805195	126,8146	0,2636364	126,4876	0,1415584	116,5446	0,1246753	132,2967	0,1363636	109,0938	0,4857143	113,711	0,2792208	102,9947	0,8220779
NEGATIVE	830427	112,0338	0,3545454	112,4224	0,3116883	104,1746	0,8896104	102,0885	0,761039	119,1342	0,3831169	114,8543	0,4974026	111,5735	0,6168831	120,4409	0,3168831	114,1447	0,5337662	105,5143	0,6181818	107,1881	0,7818182	100,0369	0,825974	106,3353	0,5519481	96,93874	0,9675325	107,4019	0,6597403	120,0088	0,3857143	113,8709	0,4493507	124,2119	0,3584416	115,2671	0,5285714	115,4678	0,1584416	116,3031	0,7246753	108,7256	0,5064935	96,44879	0,9441559	116,0185	0,3025974
NEGATIVE	830450	102,231	0,7688312	98,75633	0,8415585	92,03654	0,9987013	97,43759	0,9012987	98,25992	0,9727273	105,9575	0,8233766	105,7274	0,8324676	100,5544	0,9584416	102,5638	0,9480519	97,52117	0,9168831	104,4739	0,8597403	100,0841	0,8233766	95,07112	0,9610389	97,8925	0,9493507	108,4924	0,6103896	106,6384	0,9	99,40445	0,9623377	116,0872	0,7	104,0198	0,9194805	97,73073	0,8935065	100,9108	0,9987013	103,3326	0,7402598	99,64077	0,864935	103,6374	0,8025974
